model,attack,level_2,t_list,Clean_acc,Attacked_acc,Defended_acc
curvenet,add,48300,"[5, 90, 20, 50, 20]",0.9384116693679092,0.6620745542949756,0.8715559157212318
curvenet,add,49735,"[5, 100, 55, 10, 0]",0.9384116693679092,0.6620745542949756,0.8691247974068071
curvenet,add,49683,"[10, 70, 35, 10, 0]",0.9384116693679092,0.6620745542949756,0.8687196110210696
curvenet,add,46791,"[5, 75, 45, 60, 65]",0.9384116693679092,0.6620745542949756,0.8675040518638574
curvenet,add,49732,"[5, 80, 65, 45, 30]",0.9384116693679092,0.6620745542949756,0.8675040518638574
curvenet,add,47192,"[5, 95, 55, 40, 45]",0.9384116693679092,0.6620745542949756,0.8675040518638574
curvenet,add,49184,"[10, 90, 55, 5, 20]",0.9384116693679092,0.6620745542949756,0.8666936790923825
curvenet,add,48647,"[10, 65, 40, 25, 0]",0.9384116693679092,0.6620745542949756,0.8666936790923825
curvenet,add,47855,"[5, 60, 25, 75, 0]",0.9384116693679092,0.6620745542949756,0.8666936790923825
curvenet,add,48808,"[5, 75, 60, 50, 45]",0.9384116693679092,0.6620745542949756,0.8666936790923825
curvenet,cw,82910,"[10, 0, 35, 50, 40]",0.9384116693679092,0.0012155591572123,0.8881685575364667
curvenet,cw,81951,"[10, 60, 20, 0, 10]",0.9384116693679092,0.0012155591572123,0.8865478119935171
curvenet,cw,81516,"[5, 35, 10, 20, 25]",0.9384116693679092,0.0012155591572123,0.8861426256077796
curvenet,cw,81848,"[10, 40, 40, 75, 25]",0.9384116693679092,0.0012155591572123,0.8853322528363047
curvenet,cw,83118,"[5, 75, 30, 20, 60]",0.9384116693679092,0.0012155591572123,0.8845218800648298
curvenet,cw,82145,"[5, 95, 55, 40, 45]",0.9384116693679092,0.0012155591572123,0.8845218800648298
curvenet,cw,82092,"[5, 80, 35, 25, 25]",0.9384116693679092,0.0012155591572123,0.8837115072933549
curvenet,cw,82452,"[10, 75, 25, 60, 65]",0.9384116693679092,0.0012155591572123,0.8833063209076175
curvenet,cw,83023,"[5, 65, 55, 15, 35]",0.9384116693679092,0.0012155591572123,0.8833063209076175
curvenet,cw,81417,"[10, 60, 55, 35, 65]",0.9384116693679092,0.0012155591572123,0.8833063209076175
curvenet,drop,66211,"[0, 60, 30, 25, 100]",0.9384116693679092,0.8014586709886548,0.8229335494327391
curvenet,drop,67061,"[0, 10, 30, 15, 95]",0.9384116693679092,0.8014586709886548,0.820097244732577
curvenet,drop,68131,"[0, 60, 5, 10, 90]",0.9384116693679092,0.8014586709886548,0.8196920583468396
curvenet,drop,68402,"[0, 95, 20, 15, 80]",0.9384116693679092,0.8014586709886548,0.8196920583468396
curvenet,drop,66981,"[0, 90, 5, 25, 90]",0.9384116693679092,0.8014586709886548,0.8188816855753647
curvenet,drop,66232,"[0, 55, 25, 70, 55]",0.9384116693679092,0.8014586709886548,0.8188816855753647
curvenet,drop,68852,"[0, 35, 10, 15, 55]",0.9384116693679092,0.8014586709886548,0.8188816855753647
curvenet,drop,67894,"[0, 25, 20, 45, 45]",0.9384116693679092,0.8014586709886548,0.8184764991896273
curvenet,drop,67897,"[0, 25, 15, 30, 35]",0.9384116693679092,0.8014586709886548,0.8180713128038898
curvenet,drop,68720,"[0, 65, 50, 25, 70]",0.9384116693679092,0.8014586709886548,0.8180713128038898
curvenet,knn,96844,"[5, 70, 80, 10, 15]",0.9384116693679092,0.0076985413290113,0.8938411669367909
curvenet,knn,95881,"[5, 75, 45, 60, 65]",0.9384116693679092,0.0076985413290113,0.8934359805510534
curvenet,knn,96417,"[10, 65, 75, 90, 35]",0.9384116693679092,0.0076985413290113,0.8934359805510534
curvenet,knn,96072,"[10, 70, 50, 90, 25]",0.9384116693679092,0.0076985413290113,0.8934359805510534
curvenet,knn,96906,"[5, 0, 50, 65, 55]",0.9384116693679092,0.0076985413290113,0.893030794165316
curvenet,knn,95560,"[5, 10, 60, 35, 10]",0.9384116693679092,0.0076985413290113,0.8926256077795786
curvenet,knn,97126,"[10, 30, 70, 0, 20]",0.9384116693679092,0.0076985413290113,0.8926256077795786
curvenet,knn,96722,"[10, 65, 25, 75, 25]",0.9384116693679092,0.0076985413290113,0.8922204213938412
curvenet,knn,96788,"[5, 100, 40, 10, 35]",0.9384116693679092,0.0076985413290113,0.8922204213938412
curvenet,knn,97013,"[5, 5, 95, 40, 85]",0.9384116693679092,0.0076985413290113,0.8922204213938412
curvenet,pgd,30419,"[100, 85, 25, 15, 0]",0.9384116693679092,0.0409238249594813,0.7872771474878444
curvenet,pgd,30702,"[75, 75, 50, 5, 10]",0.9384116693679092,0.0409238249594813,0.7860615883306321
curvenet,pgd,30699,"[90, 90, 5, 30, 40]",0.9384116693679092,0.0409238249594813,0.7856564019448946
curvenet,pgd,29142,"[100, 35, 55, 10, 0]",0.9384116693679092,0.0409238249594813,0.7844408427876823
curvenet,pgd,30662,"[70, 85, 55, 5, 35]",0.9384116693679092,0.0409238249594813,0.784035656401945
curvenet,pgd,29122,"[95, 70, 5, 0, 25]",0.9384116693679092,0.0409238249594813,0.784035656401945
curvenet,pgd,31228,"[80, 75, 0, 0, 45]",0.9384116693679092,0.0409238249594813,0.7836304700162074
curvenet,pgd,31194,"[100, 60, 15, 65, 30]",0.9384116693679092,0.0409238249594813,0.7832252836304701
curvenet,pgd,30385,"[95, 40, 55, 45, 50]",0.9384116693679092,0.0409238249594813,0.7832252836304701
curvenet,pgd,30972,"[75, 85, 25, 45, 5]",0.9384116693679092,0.0409238249594813,0.7832252836304701
